label,controller,delay_frames,ego_speed_kmh,lead_speed_kmh,mu,headway_thw,headway_d,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt
baseline,baseline,0,40.0,40.0,0.85,2.0,22.22222222222222,True,,1.0127314503492766,6.835323726225283,1.5836310981026351,40.0,0.0,8.3385,12.09354019165039,5.780353449334523,4.65301270485186,8.3385,True,AVOIDED
baseline,baseline,0,40.0,40.0,0.4,2.0,22.22222222222222,False,vehicle.ue4.audi.tt,0.0,0.0,1.5834481239194547,26.76681439592697,13.23318560407303,3.924000000000003,0.0,4.953041157655612,4.6538288018444165,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,40.0,0.85,2.5,27.77777777777778,True,,1.359117067080371,5.515498483169386,1.5864217521724988,40.0,0.0,8.3385,13.44137954711914,6.126842063827499,4.1090877175175535,8.3385,True,AVOIDED
baseline,baseline,0,40.0,40.0,0.4,2.5,27.77777777777778,False,vehicle.ue4.audi.tt,0.0,0.0,1.5852148516169722,27.614193083926992,12.38580691607301,3.924000000000003,0.0,4.938546266456308,4.110369884000488,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,40.0,0.85,3.0,33.33333333333333,True,,1.5327143850078526,4.556161534812423,1.55776139152776,40.0,0.0,8.3385,14.956432342529297,6.300389796692584,3.696704849012585,8.3385,True,AVOIDED
baseline,baseline,0,40.0,40.0,0.4,3.0,33.33333333333333,False,vehicle.ue4.audi.tt,0.0,0.0,1.557996447277499,27.9342980460546,12.0657019539454,3.924000000000003,0.0,4.934930421789904,3.6965197503097964,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,50.0,50.0,0.85,1.0,13.88888888888889,False,vehicle.ue4.audi.tt,0.0,0.0,1.5231539807734567,37.065601288152614,12.934398711847384,8.338500000000018,0.0,4.916282888831373,6.362772807902839,8.3385,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,50.0,50.0,0.4,1.0,13.88888888888889,False,vehicle.ue4.audi.tt,0.0,0.0,1.524231552990171,23.73722724717109,26.26277275282891,3.9239999999999853,0.0,4.897508440090684,6.363960946960866,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,50.0,50.0,0.85,1.5,20.833333333333336,False,vehicle.ue4.audi.tt,0.0,0.0,1.521362634845512,39.542855828787914,10.457144171212084,8.3385,0.0,4.900521116462482,6.272420071972013,8.3385,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,50.0,50.0,0.4,1.5,20.833333333333336,False,vehicle.ue4.audi.tt,0.0,0.0,1.5218294904898588,29.635454941225678,20.364545058774322,3.9239999999999853,0.0,4.971934928671685,6.273162316178115,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,50.0,50.0,0.85,2.0,27.77777777777778,False,vehicle.ue4.audi.tt,0.0,0.0,1.579975878070659,42.55446021272357,7.445539787276429,8.338500000000018,0.0,4.92046464662631,5.7241505534161385,8.3385,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,50.0,50.0,0.4,2.0,27.77777777777778,False,vehicle.ue4.audi.tt,0.0,0.0,1.5805475263547368,31.16910583474857,18.83089416525143,3.9239999999999853,0.0,4.900896448275427,5.724234679596693,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,50.0,50.0,0.85,2.5,34.72222222222222,False,,0.0,0.0,1.5615380207214395,50.0,0.0,8.338499999999982,0.0,9.478215251733955,5.253031250672975,8.3385,True,NO BRAKE / passed
