label,controller,delay_frames,ego_speed_kmh,mu,trigger_d,dart_speed_kmh,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt
baseline,baseline,0,40.0,0.4,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.2511492783422866,27.122069430933944,12.877930569066056,3.924000000000003,0.0,3.830290523077468,3.961490876976411,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,0.4,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5806811107489096,28.016680528275256,11.983319471724744,3.924000000000003,0.0,3.8305951620895584,3.1546168343696994,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,0.4,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.0491368030451966,26.15297051735213,13.847029482647867,3.924000000000003,0.0,3.8353002829800094,5.008331380756813,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,40.0,0.4,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5394874871753652,27.938192663524884,12.061807336475116,3.924000000000003,0.0,3.8305573229111443,3.448934301588219,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,50.0,0.85,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.0283507624270962,40.06249266681665,9.937507333183348,8.3385,0.0,3.8466471779714833,6.251445427884491,8.3385,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,50.0,0.85,25.0,20.0,True,,0.25844992026364544,6.805111960610857,1.3761703297458985,50.0,0.0,8.338500000000018,18.85797691345215,3.932616992230024,4.67326940838413,8.3385,True,AVOIDED
baseline,baseline,0,50.0,0.85,30.0,20.0,True,,0.9371726112655354,5.192653004512637,1.5915557582378868,50.0,0.0,8.338500000000018,21.630722045898438,4.611259613541595,4.0496133296805565,8.3385,True,AVOIDED
baseline,baseline,0,50.0,0.85,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.0049640659373305,40.414044211306376,9.585955788693623,8.338500000000018,0.0,3.8209855844889145,6.639201261619354,8.3385,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,50.0,0.4,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.0282943924109114,23.72017533673905,26.27982466326095,3.9239999999999853,0.0,4.080549972014511,6.251817578351672,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,50.0,0.4,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.3761703297458985,32.133934952975906,17.866065047024097,3.9239999999999853,0.0,3.839253602376374,4.67326940838413,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,50.0,0.4,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5915557582378868,32.90596289398066,17.09403710601934,3.9239999999999853,0.0,3.824948779788953,4.0496133296805565,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,50.0,0.4,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.0049640659373305,30.537037073800235,19.462962926199765,3.9239999999999853,0.0,3.818791725080765,6.639201261619354,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,60.0,0.85,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.8715222210920067,34.252382805151434,25.747617194848566,8.338499999999982,0.0,4.272007439648291,9.086393451542861,8.3385,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,60.0,0.85,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.1321023594448238,45.742719216938966,14.257280783061033,8.3385,0.0,3.8409955591786735,6.9582527156196,8.3385,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,60.0,0.85,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.450181401363242,49.330977715363765,10.669022284636236,8.3385,0.0,3.82948897945292,5.434061926855033,8.3385,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,60.0,0.85,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5804397157617378,51.01975107703288,8.980248922967121,8.3385,0.0,3.821494920383225,4.996850708416284,8.3385,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,60.0,0.4,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.8715222210920067,14.685317222129534,45.314682777870466,3.9239999999999853,0.0,3.8887693330768487,9.086393451542861,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,60.0,0.4,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.1321023594448238,33.32515661724408,26.674843382755917,3.9239999999999853,0.0,3.8897451764117275,6.9582527156196,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,60.0,0.4,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.450181401363242,36.8878786582746,23.112121341725402,3.9239999999999853,0.0,3.8454499646729436,5.434061926855033,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
baseline,baseline,0,60.0,0.4,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5804397157617378,37.96761379030323,22.03238620969677,3.9239999999999853,0.0,3.8607010732454814,4.996850708416284,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,30.0,0.85,20.0,20.0,True,,3.9326650882441907,3.501718372541213,1.589240310269733,30.0,0.0,3.335400049701338,9.961448669433594,7.606969275542012,2.203696841912894,8.3385,True,AVOIDED
proposed,proposed,0,30.0,0.85,25.0,20.0,True,,1.4732212832962626,4.331886701944831,1.1535649608842213,30.0,0.0,8.3385,8.699321746826172,5.147472094913993,3.3316057713605907,8.3385,True,AVOIDED
proposed,proposed,0,30.0,0.85,30.0,20.0,True,,3.1056197352822723,3.501718372541213,1.5791092051880642,30.0,0.0,3.335400049701338,9.961444854736328,6.779923922580093,2.6176888670134737,8.3385,True,AVOIDED
proposed,proposed,0,30.0,0.85,35.0,20.0,True,,3.106171173581699,3.5020199028370245,1.5775132192311272,30.0,0.0,3.335400049701338,9.960845947265625,6.78047536087952,2.6176375743156006,8.3385,True,AVOIDED
proposed,proposed,0,30.0,0.4,20.0,20.0,True,,3.332902941808287,4.153258603069894,1.589240310269733,30.0,0.0,3.924000000000003,10.561573028564453,7.007207129106108,2.203696841912894,3.9240000000000004,True,AVOIDED
proposed,proposed,0,30.0,0.4,25.0,20.0,True,,1.7356738340102655,4.020221692679907,1.1535649608842213,30.0,0.0,3.924000000000003,8.436630249023438,5.409978021308087,3.3316057713605907,3.9240000000000004,True,AVOIDED
proposed,proposed,0,30.0,0.4,30.0,20.0,True,,2.851488863401923,4.200699432864554,1.7475006516602969,30.0,0.0,3.924000000000003,12.284446716308594,6.525793050699744,2.25235212050241,3.9240000000000004,True,AVOIDED
proposed,proposed,0,30.0,0.4,35.0,20.0,True,,2.6517077875786663,4.153947568581715,1.7308075634675884,30.0,0.0,3.924000000000003,11.657157897949219,6.326011974876487,2.3901259194849214,3.9240000000000004,True,AVOIDED
proposed,proposed,0,40.0,0.85,20.0,20.0,True,,1.4112985349541418,6.547570622823611,1.2511492783422866,40.0,0.0,8.3385,12.330005645751953,5.0853593058364766,3.961490876976411,8.3385,True,AVOIDED
proposed,proposed,0,40.0,0.85,25.0,20.0,True,,1.4138165315704683,0.0,1.5790028459838723,40.0,0.0,8.3385,16.74290657043457,5.0879148716720675,3.1554216785054994,8.3385,True,AVOIDED
