label,controller,delay_frames,ego_speed_kmh,lead_speed_kmh,mu,headway_thw,headway_d,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt
proposed,proposed,0,50.0,50.0,0.85,2.0,27.77777777777778,False,vehicle.ue4.audi.tt,0.0,0.0,1.5387210192923593,42.83421272808645,7.165787271913549,8.3385,0.0,4.91748862549032,5.759141036102191,8.3385,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,50.0,50.0,0.4,2.0,27.77777777777778,False,vehicle.ue4.audi.tt,0.0,0.0,1.8758773454259712,35.69036043183026,14.309639568169741,3.924000000000003,0.0,4.92826173705589,5.1196161237839455,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,50.0,50.0,0.85,2.5,34.72222222222222,True,,0.1683500967284015,6.567985614938648,1.5828040117239706,50.0,0.0,8.3385,19.157581329345703,4.9359530090479655,4.923026994393354,8.3385,True,AVOIDED
proposed,proposed,0,50.0,50.0,0.4,2.5,34.72222222222222,False,vehicle.ue4.audi.tt,0.0,0.0,1.8801603817024044,37.975257370104366,12.024742629895634,3.924000000000003,0.0,4.901952945143511,4.4464088089142955,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,60.0,60.0,0.85,1.0,16.666666666666668,False,vehicle.ue4.audi.tt,0.0,0.0,1.5414337970136753,42.49440935203448,17.505590647965523,8.3385,0.0,4.93773651968574,8.178634435944101,8.3385,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,60.0,60.0,0.4,1.0,16.666666666666668,False,vehicle.ue4.audi.tt,0.0,0.0,1.8668001920773456,34.88671566199865,25.113284338001353,3.924000000000021,0.0,4.950706827817439,7.443964148995502,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,60.0,60.0,0.85,1.5,25.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5179003642955156,45.9941303187355,14.0058696812645,8.3385,0.0,4.927204492445811,7.723672276625629,8.3385,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,60.0,60.0,0.4,1.5,25.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.8759172085135993,39.37090026826789,20.629099731732108,3.924000000000021,0.0,4.919212490880085,6.789588489867011,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,60.0,60.0,0.85,2.0,33.333333333333336,False,,0.0,0.0,1.5878646170813733,60.0,0.0,8.338499999999982,0.0,8.477176667676295,6.755292853330584,8.3385,True,NO BRAKE / passed
proposed,proposed,0,60.0,60.0,0.4,2.0,33.333333333333336,False,,0.0,0.0,1.905220588643226,60.0,0.0,3.9239999999999853,0.0,8.275402069234726,6.018425054777364,3.9240000000000004,True,NO BRAKE / passed
