label,controller,delay_frames,ego_speed_kmh,lead_speed_kmh,mu,headway_thw,headway_d,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,result_txt
proposed,proposed,0,40.0,40.0,0.85,1.5,16.666666666666664,False,vehicle.ue4.audi.tt,0.0,7.888407590652669,1.4955192880972161,38.05351997810984,1.9464800218901612,8.338500000000018,0.0,4.893519816577375,5.363921155121329,8.3385,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,40.0,40.0,0.4,1.5,16.666666666666664,False,vehicle.ue4.audi.tt,0.0,0.0,1.7458804006800974,28.926531329015894,11.073468670984104,3.924000000000003,0.0,4.940830230730292,4.892272099578638,3.9240000000000004,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,40.0,40.0,0.85,2.0,22.22222222222222,True,,1.0127314503492766,6.835323726225283,1.5836310981026351,40.0,0.0,8.3385,12.09354019165039,5.780353449334523,4.65301270485186,8.3385,AVOIDED
proposed,proposed,0,40.0,40.0,0.4,2.0,22.22222222222222,False,vehicle.ue4.audi.tt,0.0,0.0,1.682063575100614,30.535765408558618,9.46423459144138,3.924000000000003,0.0,4.928833343251511,4.47039967493972,3.9240000000000004,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,40.0,40.0,0.85,2.5,27.77777777777778,True,,1.359117067080371,5.515498483169386,1.5864217521724988,40.0,0.0,8.3385,13.44137954711914,6.126842063827499,4.1090877175175535,8.3385,AVOIDED
proposed,proposed,0,40.0,40.0,0.4,2.5,27.77777777777778,False,vehicle.ue4.audi.tt,0.0,0.0,1.771874985498215,33.36484157492759,6.635158425072409,3.924000000000003,0.0,4.903527516743614,3.8266181272360034,3.9240000000000004,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,50.0,50.0,0.85,1.0,13.88888888888889,False,vehicle.ue4.audi.tt,0.0,0.0,1.5231539807734567,37.065601288152614,12.934398711847384,8.338500000000018,0.0,4.916282888831373,6.362772807902839,8.3385,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,50.0,50.0,0.4,1.0,13.88888888888889,False,vehicle.ue4.audi.tt,0.0,0.0,1.833518495159155,29.14465575570225,20.85534424429775,3.9239999999999853,0.0,4.944572142620683,5.835254679095843,3.9240000000000004,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,50.0,50.0,0.85,1.5,20.833333333333336,False,vehicle.ue4.audi.tt,0.0,0.0,1.521362634845512,39.542855828787914,10.457144171212084,8.3385,0.0,4.900521116462482,6.272420071972013,8.3385,COLLISION with vehicle.ue4.audi.tt
proposed,proposed,0,50.0,50.0,0.4,1.5,20.833333333333336,False,vehicle.ue4.audi.tt,0.0,0.0,1.8630802352166513,34.47472260864376,15.52527739135624,3.9239999999999853,0.0,4.945550567554552,5.532244085472599,3.9240000000000004,COLLISION with vehicle.ue4.audi.tt
