label,controller,delay_frames,ego_speed_kmh,mu,trigger_d,dart_speed_kmh,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt,noise_sigma_m,noise_sigma_vr,dropout_p,dropout_mode,test_mode,seed
baseline_nm0.0,baseline,0,50.0,0.4,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.3758346436684956,32.092390915243925,17.907609084756075,3.9239999999999853,0.0,3.839655211212979,4.67320867168864,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,noise,12910036
baseline_nm0.0,baseline,0,50.0,0.4,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5906147719509276,32.989133996371834,17.010866003628163,3.9239999999999853,0.0,3.8246105087974716,4.049862616492112,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,noise,12910037
baseline_nm0.0,baseline,0,50.0,0.4,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.0052796221372668,30.609216356394715,19.390783643605285,3.9239999999999853,0.0,3.8199346028442625,6.638729057848494,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,noise,12910038
baseline_nm0.0,baseline,0,50.0,0.4,40.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.3511557659316185,32.05642741846756,17.943572581532443,3.9239999999999853,0.0,3.8493558012546782,4.970835944791651,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,noise,12910039
baseline_nm0.0,baseline,0,60.0,0.85,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.8715222210920067,34.252382805151434,25.747617194848566,8.338499999999982,0.0,4.272007439648291,9.086393451542861,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,noise,12910040
baseline_nm0.0,baseline,0,60.0,0.85,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.1321023594448238,45.742719216938966,14.257280783061033,8.3385,0.0,3.8409955591786735,6.9582527156196,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,noise,12910041
baseline_nm0.0,baseline,0,60.0,0.85,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.450181401363242,49.330977715363765,10.669022284636236,8.3385,0.0,3.82948897945292,5.434061926855033,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,noise,12910042
baseline_nm0.0,baseline,0,60.0,0.85,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.5804397157617378,51.01975107703288,8.980248922967121,8.3385,0.0,3.821494920383225,4.996850708416284,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,noise,12910043
baseline_nm0.0,baseline,0,60.0,0.85,40.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.9409190833451215,42.99367392543163,17.00632607456837,8.338499999999982,0.0,3.8245848697137528,8.58376355436793,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,noise,12910044
baseline_nm0.0,baseline,0,60.0,0.4,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.8715254526935651,14.693154287502807,45.30684571249719,3.9239999999999853,0.0,3.8891209749824207,9.086313642403866,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,noise,12910045
