label,controller,delay_frames,ego_speed_kmh,mu,trigger_d,dart_speed_kmh,avoided,collision_with,s_clearance,a_b_mfdd,t_c_warn,dv_speed_var,collision_speed_kmh,peak_decel,brake_distance,min_dist,a_req_at_brake,a_max,is_conflict,result_txt,noise_sigma_m,noise_sigma_vr,dropout_p,dropout_mode,test_mode,seed,comp_source,comp_L_frames
proposed_enhanced_d0f,proposed_enhanced,0,60.0,0.85,40.0,20.0,False,vehicle.ue4.audi.tt,0.0,8.76915442590436,0.9409190833451215,57.005421690817684,2.994578309182313,8.3385,0.0,3.812551458609789,8.58376355436793,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21380044,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,60.0,0.4,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.8715254526935651,23.42066973115253,36.57933026884747,3.924000000000021,0.0,4.306487111253795,9.086313642403866,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21380045,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,60.0,0.4,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.1320984504324096,38.97266202140629,21.027337978593703,3.924000000000021,0.0,3.8361552806586485,6.958298042137608,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21380046,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,60.0,0.4,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.450180316163522,43.5424292271081,16.4575707728919,3.924000000000021,0.0,3.8264777487467945,5.434038122471865,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21380047,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,60.0,0.4,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,1.7309820417473594,47.550827681529086,12.449172318470913,3.924000000000021,0.0,3.8217315018061844,4.564112807088881,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21380048,oracle,0
proposed_enhanced_d0f,proposed_enhanced,0,60.0,0.4,40.0,20.0,False,vehicle.ue4.audi.tt,0.0,4.065042883689418,2.016186606957437,56.80056542842427,3.1994345715757304,3.924000000000021,0.0,3.814060065192188,3.9298737880746435,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21380049,oracle,0
proposed_enhanced_d4f,proposed_enhanced,4,20.0,0.85,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.30315250109290665,12.853220776472227,7.146779223527772,8.3385,0.0,3.825324666842849,9.059110964200046,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420000,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,20.0,0.85,25.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.30294794097148653,12.85851975079561,7.14148024920439,8.3385,0.0,3.8259841734568654,9.059687566576635,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420001,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,20.0,0.85,30.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.30315250109290665,12.853268962922918,7.146731037077081,8.3385,0.0,3.825324581529767,9.059110964200046,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420002,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,20.0,0.85,35.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.30294794097148653,12.858519571653005,7.141480428346994,8.3385,0.0,3.8259841734568654,9.059687566576635,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420003,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,20.0,0.85,40.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.30315249873168537,12.853269211074739,7.146730788925262,8.3385,0.0,3.8253245957485773,9.059111018574239,8.3385,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420004,oracle,4
proposed_enhanced_d4f,proposed_enhanced,4,20.0,0.4,20.0,20.0,False,vehicle.ue4.audi.tt,0.0,0.0,0.954521540650474,15.139655775461712,4.860344224538288,3.924000000000003,0.0,3.817734931323384,2.883286592751476,3.9240000000000004,True,COLLISION with vehicle.ue4.audi.tt,0.0,0.0,0.0,freeze,latency_comp,21420005,oracle,4
